-1,115979064039409 1,7169077685421992
-1,0468222202674173 1,664545198514188
-1,015625 1,6666080562659844
-0,9607142857142857 -0,5539522058823529
-0,7865147783251232 -0,551986093350384
-0,5053340517241379 1,665484095268542
-0,47409174876847293 1,6644748241687977
-0,08403633004926125 1,7610906862745095
2,617949507389162 -0,5619804987212278
5,432642065446869 1,664545198514188
5,463839285714286 1,6666080562659844
5,4808805418719215 -0,551986093350384
5,511176108374384 1,7624560421994881
5,569873768472906 1,7629654440827711
5,603956280788178 1,768986344537815
5,672121305418719 -0,5585904440827714
